"Year","LocationAbbr","LocationDesc","DataSource","TopicType","TopicDesc","MeasureDesc","Variable","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","GeoLocation","Topic Type ID","Topic ID","Measure ID","SubMeasureID","DisplayOrder"
"2007","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","7,863.8","†","Excludes dental expenditures","  TX  (31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE001","01"
"2008","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,226.9",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE003","03"
"2006","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","1,703.8",,,"  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE004","04"
"2005","IN","Indiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,379.9","†","Excludes dental expenditures","  IN  (39.766910452, -86.149960194)","HLT","501HLT","520SAE","SAE001","01"
"2008","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","305.6","†","Excludes dental expenditures","  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE001","01"
"2005","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","571.4",,,"  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE002","02"
"2009","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","1,357.4",,,"  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE002","02"
"2005","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","51.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE006","06"
"2006","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","473.4",,,"  MA  (42.27687047, -72.082690675)","HLT","501HLT","520SAE","SAE002","02"
"2005","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","671.4",,,"  IL  (40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE002","02"
"2009","SD","South Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","17.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  SD  (44.353130053, -100.373530637)","HLT","501HLT","520SAE","SAE006","06"
"2007","MT","Montana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","61.0",,,"  MT  (47.066528972, -109.424420645)","HLT","501HLT","520SAE","SAE004","04"
"2005","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","4,467.9","†","Excludes dental expenditures","  IL  (40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE001","01"
"2005","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","96.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  CO  (38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE006","06"
"2009","CT","Connecticut","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,038.8","†","Excludes dental expenditures","  CT  (41.56266102, -72.649840952)","HLT","501HLT","520SAE","SAE001","01"
"2008","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","904.4",,,"  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE005","05"
"2005","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","469.1",,,"  KS  (38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE003","03"
"2009","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","2,391.3",,,"  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE004","04"
"2005","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","89.1",,,"  AZ  (34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE005","05"
"2008","WA","Washington","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","446.0",,,"  WA  (47.522278629, -120.47001079)","HLT","501HLT","520SAE","SAE004","04"
"2006","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","277.8",,,"  RI  (41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE003","03"
"2005","DE","Delaware","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","212.6",,,"  DE  (39.008830667, -75.577741168)","HLT","501HLT","520SAE","SAE003","03"
"2006","OH","Ohio","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","506.8",,,"  OH  (40.060210141, -82.404260056)","HLT","501HLT","520SAE","SAE005","05"
"2005","NH","New Hampshire","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","32.2","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NH  (43.655950113, -71.50036092)","HLT","501HLT","520SAE","SAE006","06"
"2006","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,047.4","†","Excludes dental expenditures","  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE001","01"
"2009","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","117.6",,,"  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE002","02"
"2007","IN","Indiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","479.5",,,"  IN  (39.766910452, -86.149960194)","HLT","501HLT","520SAE","SAE004","04"
"2005","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","794.3",,,"  SC  (33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE003","03"
"2008","MI","Michigan","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","256.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  MI  (44.661319543001, -84.71439027)","HLT","501HLT","520SAE","SAE006","06"
"2007","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","179.8",,,"  KS  (38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE004","04"
"2009","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","157.6","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE006","06"
"2009","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","233.0",,,"  IA  (42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE004","04"
"2006","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","188.0",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE005","05"
"2009","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","315.5",,,"  NC  (35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE005","05"
"2005","HI","Hawaii","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","20.9","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  HI  (21.304850435, -157.857749403)","HLT","501HLT","520SAE","SAE006","06"
"2006","DE","Delaware","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","227.7",,,"  DE  (39.008830667, -75.577741168)","HLT","501HLT","520SAE","SAE003","03"
"2009","MS","Mississippi","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","695.0",,,"  MS  (32.745510099, -89.538030825)","HLT","501HLT","520SAE","SAE003","03"
"2007","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","236.1",,,"  LA  (31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE002","02"
"2008","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","230.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE006","06"
"2007","ME","Maine","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","724.7","†","Excludes dental expenditures","  ME  (45.254228894001, -68.985031336)","HLT","501HLT","520SAE","SAE001","01"
"2006","WV","West Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","68.4",,,"  WV  (38.665510202, -80.712640135)","HLT","501HLT","520SAE","SAE005","05"
"2009","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,300.8",,,"  MN  (46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE003","03"
"2009","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","77.9",,,"  RI  (41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE002","02"
"2008","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","3,040.5","†","Excludes dental expenditures","  GA  (32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE001","01"
"2005","FL","Florida","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","1,480.0",,,"  FL  (28.932040377, -81.928960539)","HLT","501HLT","520SAE","SAE004","04"
"2005","NH","New Hampshire","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","289.2",,,"  NH  (43.655950113, -71.50036092)","HLT","501HLT","520SAE","SAE003","03"
"2007","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","219.0",,,"  IA  (42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE004","04"
"2008","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","355.6",,,"  SC  (33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE004","04"
"2007","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,191.7",,,"  MN  (46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE003","03"
"2006","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,029.5",,,"  AZ  (34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE003","03"
"2008","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","129.0",,,"  SC  (33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE005","05"
"2008","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","573.4",,,"  MA  (42.27687047, -72.082690675)","HLT","501HLT","520SAE","SAE004","04"
"2009","MI","Michigan","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","581.8",,,"  MI  (44.661319543001, -84.71439027)","HLT","501HLT","520SAE","SAE002","02"
"2008","IN","Indiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,800.9","†","Excludes dental expenditures","  IN  (39.766910452, -86.149960194)","HLT","501HLT","520SAE","SAE001","01"
"2005","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","370.5",,,"  AL  (32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE004","04"
"2007","AK","Alaska","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","23.3","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  AK  (64.845079957001, -147.722059036)","HLT","501HLT","520SAE","SAE006","06"
"2008","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","424.2",,,"  WI  (44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE004","04"
"2007","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","163.3","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  GA  (32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE006","06"
"2008","WA","Washington","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,638.2","†","Excludes dental expenditures","  WA  (47.522278629, -120.47001079)","HLT","501HLT","520SAE","SAE001","01"
"2009","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,891.5","†","Excludes dental expenditures","  CO  (38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE001","01"
"2009","ID","Idaho","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","277.5",,,"  ID  (43.682630005, -114.363730042)","HLT","501HLT","520SAE","SAE003","03"
"2008","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","75.9",,,"  RI  (41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE002","02"
"2006","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","2,583.4",,,"  IL  (40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE003","03"
"2007","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","368.5",,,"  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE002","02"
"2008","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,406.5","†","Excludes dental expenditures","  MN  (46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE001","01"
"2009","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","167.0","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  GA  (32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE006","06"
"2007","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","2,229.4",,,"  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE004","04"
"2007","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","1,211.7",,,"  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE002","02"
"2006","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,319.3","†","Excludes dental expenditures","  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE001","01"
"2005","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","338.8",,,"  MA  (42.27687047, -72.082690675)","HLT","501HLT","520SAE","SAE005","05"
"2007","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","444.6",,,"  TX  (31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE005","05"
"2009","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","2,546.6",,,"  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE002","02"
"2008","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","580.2",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE004","04"
"2008","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","168.7",,,"  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE003","03"
"2006","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,691.4",,,"  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE003","03"
"2008","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","505.7",,,"  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE004","04"
"2006","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","3,299.6","†","Excludes dental expenditures","  NC  (35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE001","01"
"2008","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","587.7",,,"  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE003","03"
"2005","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,485.0","†","Excludes dental expenditures","  VA  (37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE001","01"
"2009","OK","Oklahoma","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","309.7",,,"  OK  (35.472031356, -97.521070214)","HLT","501HLT","520SAE","SAE004","04"
"2005","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","839.2",,,"  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE005","05"
"2007","FL","Florida","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","1,657.8",,,"  FL  (28.932040377, -81.928960539)","HLT","501HLT","520SAE","SAE004","04"
"2008","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","216.4",,,"  WI  (44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE005","05"
"2005","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","348.8",,,"  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE003","03"
"2007","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","95.1",,,"  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE005","05"
"2007","OR","Oregon","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","697.8",,,"  OR  (44.567449424, -120.155031326)","HLT","501HLT","520SAE","SAE003","03"
"2005","WV","West Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","106.3",,,"  WV  (38.665510202, -80.712640135)","HLT","501HLT","520SAE","SAE002","02"
"2007","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","165.4",,,"  KS  (38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE002","02"
"2005","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","113.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  VA  (37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE006","06"
"2009","MO","Missouri","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,785.1",,,"  MO  (38.635790776, -92.566300053)","HLT","501HLT","520SAE","SAE003","03"
"2006","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","52.6","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE006","06"
"2006","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","670.0","†","Excludes dental expenditures","  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE001","01"
"2009","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","684.0",,,"  GA  (32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE004","04"
"2006","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","9,237.4","†","Excludes dental expenditures","  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE001","01"
"2006","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","35.1",,,"  NV  (39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE005","05"
"2008","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","448.4",,,"  VA  (37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE002","02"
"2009","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,080.3","†","Excludes dental expenditures","  NV  (39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE001","01"
"2007","MT","Montana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","27.5",,,"  MT  (47.066528972, -109.424420645)","HLT","501HLT","520SAE","SAE005","05"
"2009","OR","Oregon","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","270.8",,,"  OR  (44.567449424, -120.155031326)","HLT","501HLT","520SAE","SAE002","02"
"2009","VT","Vermont","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","212.4",,,"  VT  (43.625381239, -72.517640791)","HLT","501HLT","520SAE","SAE003","03"
"2009","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","233.2",,,"  NV  (39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE004","04"
"2006","ID","Idaho","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","430.1","†","Excludes dental expenditures","  ID  (43.682630005, -114.363730042)","HLT","501HLT","520SAE","SAE001","01"
"2009","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","121.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  CO  (38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE006","06"
"2005","ME","Maine","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","343.9",,,"  ME  (45.254228894001, -68.985031336)","HLT","501HLT","520SAE","SAE003","03"
"2008","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","898.2",,,"  IL  (40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE004","04"
"2008","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","57.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  KS  (38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE006","06"
